owasp_category,asvs_id,control_requirement,implementation_file,test_file
A01,V4.1.1,Enforce access control checks before processing,services/trace/server.py,tests/asvs/test_a01_access_control.py
A02,V6.2.1,Protect data in transit and avoid weak crypto assumptions,services/trace/replay.py,tests/asvs/test_a02_crypto.py
A03,V5.2.3,Validate command-like input and block execution semantics,services/trace/capture.py,tests/asvs/test_a03_injection.py
A04,V1.1.1,Document security architecture and trust boundaries,sdlc/design/architecture.md,tests/asvs/test_a04_design.py
A05,V14.2.1,Enforce hardened security configuration defaults,services/trace/fixture_target.py,tests/asvs/test_a05_security_config.py
A06,V1.14.4,Track and verify component inventory and versions,scripts/verify_tools.sh,tests/asvs/test_a06_vulnerable_components.py
A07,V2.1.1,Enforce robust authentication and session handling,services/trace/server.py,tests/asvs/test_a07_auth.py
A08,V7.1.1,Protect software and data integrity with immutable evidence,services/evidence/ledger.py,tests/asvs/test_a08_integrity.py
A09,V7.2.1,Create tamper-resistant security logging and audit trail,services/reconciliation/audit_trail.py,tests/asvs/test_a09_logging.py
A10,V10.3.2,Restrict server-side outbound targets to trusted destinations,services/trace/server.py,tests/asvs/test_a10_ssrf.py
