asvs_id,category,requirement_text,applicable_to_this_cve,rationale
V1.1.1,Architecture,Define and maintain security architecture and trust boundaries,true,CVE-2021-22986 analysis needs explicit boundaries between fixture and services.
V1.14.4,Architecture,Inventory and verify platform component versions,true,Toolchain drift can invalidate reproducibility of security evidence.
V2.1.1,Authentication,Verify authentication controls and session handling,true,CVE chain includes token extraction and auth bypass patterns.
V4.1.1,Access Control,Enforce authorization decisions before protected actions,true,SSRF allowlist should run before trace processing.
V5.2.3,Validation,Validate and constrain OS-command style input,true,utilCmdArgs payload carries injection-like patterns.
V6.2.1,Cryptography,Use strong transport and cryptographic controls,true,Replay and fixture transport boundaries must be explicit.
V7.1.1,Data Integrity,Protect logs and evidence integrity,true,Research outputs require tamper-evident evidence storage.
V7.2.1,Logging,Record security-relevant events with provenance,true,Conflict resolution needs immutable auditability.
V10.3.2,SSRF,Restrict outbound requests to trusted destinations,true,Trace replay must only target localhost fixture.
V14.2.1,Configuration,Apply secure baseline configuration,true,Fixture mode and localhost binding are mandatory hardening controls.
